Business Model,How it works?,Where it Comes from?,Examples,Who is it for?
Rent Instead of Buy,"Customers pay for the temporary right to use a product by renting it. The customer advantage is avoiding initial acquisition costs (WHAT?). For the business, higher margins are realized over time, and sales potential increases (VALUE?). The firm must finance the products in advance, leading to delayed revenue (VALUE?).","The practice dates back to ancient Rome. Joe Saunders (1916) pioneered modern car rental. Xerox (1959) popularized rental for its expensive copier, charging a monthly fee instead of a large purchase price.","CWS-boco (1908): Offers working clothes and laundry products for rent. SolarCity (2006): Installs solar systems for free, then enters a long-term contract where the homeowner buys the electricity. Luxusbabe (2006): Rents designer purses.",Applicable across industries where customers prioritize usage over possession. This is a pervasive modern trend. Success requires robust product financing mechanisms to ensure sustainable cash flow.
Revenue Sharing,"Two or more parties collaborate and share the resulting revenues from their joint activity (WHAT?, VALUE?). This builds strategic partnerships, broadens the customer base, and shares risks (VALUE?). One party increases sales, from which the other participating party receives a revenue share.",Traces back to Venice's commenda contracts (810 BC). Profit sharing with employees was introduced in France in 1820.,"CDnow (1994): Introduced affiliate marketing, sharing sales revenue with partners. Apple (2008, App Store): Shares revenue with application developers for every sale. Sanifair (1994): Charges a toilet fee but gives customers a voucher redeemable in partner shops, which then share the increased revenue. HubPages (2006): A content platform where writers share ad revenue.",Increasingly important due to fragmented value chains. Highly suitable for achieving strategic alliances to share risks and expand the ecosystem. Success requires simple mechanisms for sharing revenue.
Reverse Engineering,"The company acquires a competitor's product, disassembles it, and uses the acquired information to develop a similar product (HOW?). Since R&D investments are avoided, products can be offered at a lower price (VALUE?). The imitator benefits by optimizing existing products and learning from the pioneer's mistakes (WHAT?).","Primarily used for military intelligence. In the 1970s and 1980s, Japanese car manufacturers systematically analyzed Western cars to learn quality manufacturing techniques.","Pelikan (1994): Produced imitation ink cartridges for popular printers. Xiaomi (2010): Uses Reverse Engineering to understand competitors' offerings and integrate its own ideas. Rocket Internet (2007): Applied Reverse Engineering to whole business models, cloning international successes.","Applicable in technology-intensive industries. Attractive for cutting costs, accelerating time-to-market, and avoiding the risk of market rejection. Learning is more important than mere copying."
Reverse Innovation,"Products are first developed to meet the needs of emerging economies (""frugal products"") (HOW?). These simple, inexpensive products are then repackaged and sold in industrialized countries (HOW?). This reverses the traditional flow of innovation. The cost savings allow the products to open up new market segments in developed markets (WHAT?).","Developed in the 1990s as emerging markets grew. General Electric (2007) pioneered the model, developing a portable, low-cost ECG device for India/China that was later successful in developed markets.","Nokia (2003): Designed the low-cost Nokia 1100 for rural India, which became a global bestseller. Renault (2004): Designed the Dacia Logan for Eastern European markets, later generating two-thirds of its revenue from sales in developed markets. Haier (1999): Successfully sold its low-priced Mini Magical Child washing machine on the world market.",Suitable for companies with R&D capabilities in emerging markets. It is a viable strategy for companies facing pressure to reduce costs. It is also a powerful tool for building lasting relationships with customers in emerging economies.
Robin Hood,"The company sells its product to ""the rich"" at a much higher price than to ""the poor"" (WHO?). The high profits from wealthy customers cross-subsidize the disadvantaged, who receive the offering cheaply or for free (WHAT?). The high volume of disadvantaged customers can create economies of scale. This enhances the company's public image (VALUE?).","Developed around the 1970s. Aravind Eye Care Hospital (1976, India) was a pioneer, charging full price to wealthy patients to subsidize free operations for the poor.","TOMS Shoes (2006): Operates on a ""One for One"" policy, donating a pair of shoes for every pair sold. One Laptop per Child (OLPC) (2005): Used a ""Give 1 Get 1"" program to subsidize laptops for children in developing countries. Lemonaid (2008): Donates five cents from each bottle sold to charitable projects.",Works well if the company serves a stable core market of wealthy customers whose purchases can reliably subsidize offerings for the poor. It is a valuable strategy for reputation building and gaining a foothold in lower-income economies.
Self-Service,"A portion of the value creation process is transferred to the customer (HOW?). In return, the customer benefits from lower prices (VALUE?) and often saves time (WHAT?). The firm realizes substantial savings by replacing staff roles with customer labor (VALUE?).",Originated in the US with Self-Service stores (early 20th century) where customers fetched groceries themselves.,IKEA (1956): Requires customers to self-assemble products. McDonald’s (1948): Uses counter ordering and drive-through facilities to cut overheads. BackWerk (2001): Requires customers to select products themselves. Amazon Go (2018): Pioneering automated grocery shopping.,Appropriate for customers who are willing to accept additional work in exchange for lower prices. It is suitable when the DIY element increases the perceived customer value of the product.
Shop in Shop,"A retailer establishes an independent, branded store within the premises of another company (HOW?). This is cheaper than building standalone branches and provides access to prime locations (VALUE?). The host benefits from increased traffic and rental revenue (WHAT?). The hosted company benefits from cheaper resources.",Dates back to ancient Rome's Trajan’s Market. Modern forms appeared in early 20th-century US shopping malls.,Bosch (2000): Uses branded facilities within hardware stores to provide dedicated consultations. DHL (1969): Places counters in supermarkets to increase coverage. Tim Hortons Inc. (1964): Positions small stores in high-traffic locations like airports. Zalando (2008): Uses digital Shop in Shop spaces for individual brands.,"Consider if you use intermediaries and want to increase brand visibility. It is particularly effective when the integrated business creates valuable synergies for the host, such as added convenience or new traffic."
Solution Provider,"The company offers comprehensive coverage of all necessary products and services in a specific domain, consolidated into a single source (WHAT?). The aim is to handle customers’ entire problems, enabling them to focus on their core activities (WHAT?). This builds closer relationships and allows continuous product improvement.",Originated in the mechanical engineering industry. Heidelberg Printing Machines (1980) transformed from a press manufacturer into a total Solution Provider for the entire printing workflow.,Lantal Textiles (1954): Transitioned from fabric weaving to providing complete interior design solutions for airlines. Würth (1945): Expanded to become a one-stop-shop for tradespeople. Tetra Pak (1993): Provides comprehensive solutions for food processing and packaging. Best Buy's Geek Squad (1994): Offers 24/7 technical support.,"Applicable if customers demand that your products and services be expanded, especially into after-sales. It works by integrating various supplier offerings. It is crucial when the total service package is more profitable than individual product sales."
Subscription,"Customers receive products or services regularly over an agreed period, paying a recurring fee (VALUE?). Customers benefit from the convenience of not having to make repeated purchases (WHAT?). For the company, this model provides foreseeable and steady recurring revenue (VALUE?).",Introduced by German booksellers in the 17th century. Soon adopted by newspaper and magazine publishers.,"Salesforce (1999): Introduced subscriptions to the software industry. Blacksocks (1999): Created ""Sockscription,"" delivering socks at specified intervals. Dollar Shave Club (2012): Uses Subscription for monthly razor blade deliveries. Apple and Disney: Shifting to subscription models for media.","Ideal when customers need your product or service on a regular basis. It applies across B2B and B2C sectors. It must offer customers additional value, such as convenience or guaranteed availability."
Supermarket,"The company offers a large and comprehensive selection of readily available products under one roof (WHAT?). Prices are generally kept low. The vast range meets most customer demands, generating considerable traffic (VALUE?). The company benefits from economies of scale and scope (HOW?, VALUE?). Customers benefit from the convenience of a ""one-stop shop"" (WHAT?).","Originated in the food industry. King Kullen (1930) is considered the first modern supermarket. The concept was soon transferred to other industries, such as do-it-yourself (DIY) stores.","Amazon (1994): Became the ""everything store"". Toys ""R"" Us (1957): A ""category killer"" for toys. Home Depot (1978): A one-stop shop for home improvement. MediaMarkt (1979): Offers a wide range of consumer electronics. Decathlon (1976): Specializes in a wide range of sporting goods.",Applicable in all situations where economies of scale and scope are relevant. It is strategically the opposite of boutique models. Success requires efficient back-end processes and IT systems to manage immense product variety.
Target the Poor,The offering targets customers at the base of the economic pyramid (WHO?)—those with low annual incomes. This group represents immense potential due to its sheer size (VALUE?). Products must be significantly modified to be affordable (WHAT?). New distribution concepts are necessary for emerging economies (HOW?).,"Developed mainly in the 1990s. Hindustan Unilever (1990s) pioneered it in India with Wheel laundry detergent, sold cheaply in small packages via decentralized distribution.","Grameen Bank (1983): Provides micro-finance to impoverished people. The Tata Nano (2009): A car developed for low-income customers, priced at $2,500. Square (2009): Targets small businesses with a mobile payment system that has low entry barriers.",Suitable for companies with the ability to re-engineer products to serve a low-cost market. It requires deep understanding of the local culture and infrastructure in emerging markets.
Trash to Cash,"Based on recycling and reusing used products or waste materials. Used products are collected and either sold in different markets or transformed into new products (WHAT?). The profit scheme is based on a low or zero purchase price for raw materials (HOW?), eliminating resource costs (VALUE?).","Dates back to ancient Greece. Gained modern attention around 1970. Duales System Deutschland (1991, Germany) professionalized recycling. BASF (1998) uses its Verbund integration to maximize internal resource utilization.",Adidas x Parley for the Oceans (2015): Uses recycled plastic from coastal areas to create apparel and shoes. Greenwire (2001): Collects old mobile phones and laptops for reconditioning and resale. Emeco (1944): Manufactures designer furniture from recyclable materials.,"Suitable for companies committed to sustainability. Applicable if the company produces ""trash"" that can be considered a resource in another value chain."
Two-Sided Market,"[How it works? text incomplete] ...one user group benefits from a free or subsidized offering, while the other group (e.g., advertisers) pays (VALUE?). Successful engagement and network effects lead to a strong Lock-In. If three or more groups are involved, it is called a multi-sided market.",Early application in stock exchanges (15th century). Diners Club (1950) was the first credit card company linking cardholders and merchants.,eBay (1995) and Amazon (1995): Link buyers and sellers. Groupon (2008): Connects merchants with customers seeking discounts. JCDecaux (1964): Links cities with advertisers. Uber (2009) and Airbnb (2008): Peer-to-Peer markets linking service providers with customers.,"Essential for companies in today's increasingly complex environment. Focus on identifying all relevant stakeholders and building a multi-sided model that connects them in innovative, value-creating ways."
Ultimate Luxury,"This model targets customers in the highest financial bracket (WHO?). It offers the highest quality, unique products, and exclusive privileges (WHAT?) that appeal to values of uniqueness and self-actualization (VALUE?). High margins compensate for massive investments in branding and specialized sales (HOW?, WHAT?).","Dates back to antiquity. Medieval businesses sought to become ""official purveyors to the court"".","Lamborghini (1962): Manufactures high-powered sports cars in small, limited editions. Jumeirah Group (1994): Develops Ultimate Luxury hotels (e.g., the Burj al Arab). SpaceX (2002): Aims to commercialize space travel for private customers.",Suitable if the company can justify wide margins by delivering unparalleled quality and exclusivity. Significant potential exists in emerging markets to cater to new millionaires and billionaires.
User Design,"The company establishes an online platform that enables customers to act as both designers and consumers (WHO?). Customers use the company's infrastructure to create, promote, and sell their own product designs, often receiving a share of the revenue (VALUE?). This creates a large portfolio of niche products with minimal R&D cost (WHAT?). [Text incomplete]","It emerged from the Open Innovation movement, gaining popularity with Web 2.0. Threadless (2000) was an early creator: an online community submitted T-shirt designs for public voting, with winning designers receiving rewards.","LEGO (2005): Established LEGO Factory, providing online tools for customers to create and sell custom toy sets. Ponoko (2007): Allows customers to design products and sell them via its online store. Other examples include platforms for user-designed shoes (Dream Heels) and tattoos (Create My Tattoo).",Promising in industries with comparatively simple products highly dependent on design. It taps into the desire for interactivity within social communities. It provides access to innovative designs and helps build a community of engaged customers.
White Label,The producer manufactures goods without a specific brand name and allows different marketing companies or retailers to distribute them under their own brand.,"The name originates from the music industry (second half of the 20th century), where unlabelled demo records (""white labels"") were sent out to gauge reaction. The model was later adopted by the food industry.","Foxconn (1974): A major WL producer, manufacturing electronic devices for brands like Apple and Dell. CEWE (1997): Provides photo printing services sold under the brand names of distributors. Richelieu Foods (1994): A contract food producer that customizes manufacturing for retail chains' own brands.","Suitable if the company has an established brand but needs to reach price-sensitive customers. It works well in industries characterized by large sales volumes and small margins (e.g., food, garments)."
Sensor as a Service,"The company offers services derived from data gathered via sensors (WHAT?) embedded in physical offerings. Data is generated by company-owned, customer-owned, or third-party sensors (HOW?). The primary revenue is from the service enabled by the analysis of this information, not the sensor sale itself (VALUE?).",[No information provided],"Theline (2005): Installs sensors to detect vacant parking places, selling the processed data to consumers via mobile apps. Google Nest (2011): Uses sensor data from its self-learning thermostat to create optimized schedules, collaborating with energy providers.",Ideal for companies proficient in handling large amounts of data while possessing expertise in the physical world. Also attractive to players with access to many data points. Suitable for creating profitable after-sales markets.
Virtualisation,"This model involves imitating a traditionally physical process (e.g., storage, workspaces) in a virtual environment (HOW?). The customer benefits from the ability to interact with the service from any location (WHAT?). The service is often paid for via access fees.",The concept is a logical consequence of increasing digitalisation and ubiquitous internet access.,"Amazon WorkSpaces (2006): Virtualizes desktops to the cloud, allowing employees to access their synchronized workstations from any device. DUFL (2015): Virtualized clothes storage and transportation, allowing travelers to pack online and have their clothes await them at their destination.","Suitable for services where multi-device access is necessary, where additional value can be added digitally, or where physical distance is a roadblock. It is an effective way to complement established offerings."
Object Self-Service,"An Internet of Things (IoT)-compatible object, equipped with sensors and connected to an IT structure (HOW?), is enabled to autonomously generate orders for replenishment. This removes time-consuming activities from the customer (WHAT?). The firm secures recurrent revenue (VALUE?).",The concept has been developed based on IoT technologies and the vision of autonomous objects becoming a reality.,"[Example]: A smart refrigerator collaborating with external chefs to optimize food refills. HP Instant Ink (2013): Uses compatible printers to autonomously order new ink cartridges when current ones are low, providing a carefree package with a Flat Rate plan.",Especially useful in professional environments where time is crucial and processes are standardized. It prevents material shortcomings and can enhance Lock-In potential for well-known suppliers.
Object as Point of Sale,"The point of sale for consumables is moved to the point of consumption using internet-connected devices (HOW?). This physical proximity makes the customer less sensitive to price, generating stronger Lock-In. Sensors measure consumption needs, allowing optimization of offers for complementary goods.",Derived from the vision of the Internet of Things (IoT).,Amazon Dash Button (2015): Small Wi-Fi connected devices that allow customers to reorder a specific product with a single press.,"Suitable for consumables and goods used constantly where consumption fluctuates. Since the customer still makes the final decision, additional mechanisms (e.g., digital ads) are needed to convert the impulse into a purchase."
Prosumer,The company enables customers to become producers themselves. The customer is integrated into the value chain (HOW?) and can profit from the resulting product. The firm reduces investment costs for production (VALUE?). The consumer's active role in production increases the perceived value of the product (WHAT?).,"Based on Alvin Toffler’s definition in The Third Wave (1980s). Early instances were seen in the Self-Help Cooperative Movements (1930s), where unemployed workers worked on farms in exchange for food.",[No examples provided in text],Fits well with platform business models and organizations that provide infrastructure flexible enough to integrate customers as resources or suppliers. Success requires balancing incentives for Prosumers with the company's own value capture.
